local_timestamp,temperature,humidity,air_quality,noise_level,temperature_anomaly,humidity_anomaly,air_quality_anomaly,noise_level_anomaly
2025-04-26 16:19:48.314000+00:00,32.9,72.1,167,16,True,False,False,False
2025-04-26 16:20:49.951000+00:00,32.8,72.8,169,16,True,False,False,False
2025-04-26 16:22:53.250000+00:00,32.7,73.8,184,20,False,True,False,False
2025-04-26 16:36:16.530000+00:00,33.4,71.9,182,25,False,False,False,True
2025-04-26 16:48:35.225000+00:00,33.7,69.9,378,268,False,False,True,True
2025-04-26 16:49:36.665000+00:00,33.5,70.5,390,270,False,False,True,False
2025-04-26 18:12:00.453000+00:00,32.9,74.6,359,205,True,False,False,False
2025-04-26 18:18:10.149000+00:00,32.7,74.9,448,272,False,False,True,True
2025-04-26 18:19:11.768000+00:00,32.6,75.1,463,329,False,False,True,True
2025-04-26 19:32:44.310000+00:00,32.7,73.3,409,305,False,False,False,True
2025-04-26 19:33:46.008000+00:00,32.7,73.3,325,187,False,False,True,True
2025-04-26 19:35:49.040000+00:00,32.6,73.9,299,180,False,False,True,False
2025-04-26 19:36:50.715000+00:00,32.5,74.2,400,301,False,False,False,True
2025-04-26 19:43:00.575000+00:00,32.3,74.7,285,144,False,False,False,True
2025-04-26 19:44:02.438000+00:00,32.3,75.0,187,14,False,False,True,True
2025-04-26 19:45:04.056000+00:00,32.4,76.5,206,67,False,True,False,False
2025-04-26 20:05:36.002000+00:00,32.1,76.5,262,91,False,False,True,False
2025-04-26 20:06:37.609000+00:00,32.1,76.6,297,110,False,False,True,True
2025-04-26 20:08:41.318000+00:00,32.0,76.4,286,114,True,False,False,False
2025-04-26 20:30:14.468000+00:00,31.9,77.4,272,112,True,False,False,False
2025-04-26 20:37:25.791000+00:00,31.9,77.6,240,85,False,False,False,True
2025-04-26 20:50:46.780000+00:00,31.8,77.4,133,17,False,False,True,True
2025-04-26 20:51:48.420000+00:00,31.8,77.4,267,171,False,False,False,True
2025-04-26 20:53:51.511000+00:00,31.5,77.6,269,175,True,False,False,False
2025-04-26 20:54:53.390000+00:00,31.4,77.8,268,173,True,False,False,False
2025-04-26 20:55:55.021000+00:00,31.2,78.3,275,174,True,True,False,False
2025-04-26 20:58:59.958000+00:00,31.1,79.5,281,176,False,True,False,False
2025-04-26 21:09:24.603000+00:00,31.8,77.6,121,0,False,False,False,True
2025-04-26 21:57:42.602000+00:00,31.0,78.4,213,134,False,True,False,False
2025-04-26 22:06:57.204000+00:00,31.1,78.9,224,85,False,False,False,True
2025-04-26 22:26:28.927000+00:00,31.2,78.7,187,31,False,False,False,True
2025-04-26 22:29:33.880000+00:00,31.0,79.8,144,10,False,True,False,False
2025-04-26 23:03:32.264000+00:00,31.4,79.5,131,28,False,False,False,True
2025-04-26 23:22:02.730000+00:00,31.2,78.4,100,0,False,False,False,True
2025-04-26 23:34:28.341000+00:00,31.2,78.1,102,42,False,False,False,True
2025-04-27 06:13:59.046000+00:00,31.1,78.1,212,82,False,False,True,True
2025-04-27 06:15:00.483000+00:00,29.5,80.6,208,86,True,True,False,False
2025-04-27 06:51:46.562000+00:00,29.7,81.1,218,124,False,False,True,False
2025-04-27 06:53:49.038000+00:00,29.6,81.6,214,127,False,True,False,False
2025-04-27 07:09:07.802000+00:00,29.5,82.2,247,150,False,False,True,False
2025-04-27 07:11:10.283000+00:00,29.5,82.5,255,174,False,False,False,True
2025-04-27 07:12:11.617000+00:00,29.5,82.5,123,2,False,False,True,True
2025-04-27 07:15:19.320000+00:00,30.4,81.0,101,0,True,True,False,False
2025-04-27 07:16:20.462000+00:00,30.5,78.7,90,0,True,True,False,False
2025-04-27 07:18:46.918000+00:00,29.6,82.1,184,114,False,False,False,True
2025-04-27 16:29:20.157000+00:00,32.3,73.6,909,66,True,True,True,False
2025-04-27 16:30:21.596000+00:00,32.4,73.3,652,63,False,False,True,True
2025-04-27 17:19:44.950000+00:00,32.7,71.8,242,65,False,True,False,False
2025-04-27 17:37:11.841000+00:00,32.6,72.5,191,73,True,False,False,False
2025-04-27 18:12:00.891000+00:00,32.6,73.1,204,64,False,False,True,False
2025-04-27 18:29:31.924000+00:00,32.5,74.1,264,69,True,False,False,False
2025-04-27 19:04:55.987000+00:00,32.2,76.1,195,64,True,True,False,False
2025-04-27 19:10:07.968000+00:00,32.2,75.8,291,222,False,False,False,True
2025-04-27 19:25:35.620000+00:00,31.8,78.2,333,131,False,False,False,True
2025-04-27 19:50:16.037000+00:00,31.3,79.7,305,95,True,False,False,False
2025-04-27 20:20:56.021000+00:00,31.5,80.1,203,103,False,False,True,False
2025-04-27 20:58:45.095000+00:00,31.2,81.0,355,64,False,False,False,True
2025-04-27 21:00:47.566000+00:00,31.0,81.1,326,100,True,False,False,False
2025-04-27 21:41:38.392000+00:00,31.5,80.1,85,63,False,False,True,True
2025-04-27 22:28:44.542000+00:00,31.1,81.1,241,126,False,False,False,True
2025-04-27 23:01:31.222000+00:00,30.9,81.4,239,118,True,False,False,False
2025-04-27 23:55:03.910000+00:00,30.9,81.8,244,123,False,False,False,True
2025-04-28 01:09:38.072000+00:00,30.3,82.0,291,192,False,False,False,True
2025-04-28 02:29:14.180000+00:00,30.7,80.1,266,156,True,False,False,False
2025-04-28 02:53:43.059000+00:00,30.7,80.4,263,160,False,True,False,False
2025-04-28 02:55:45.331000+00:00,30.9,80.0,256,160,True,False,False,False
2025-04-28 02:58:49.351000+00:00,31.0,79.5,285,156,False,False,True,False
2025-04-28 03:51:53.595000+00:00,30.4,79.9,254,157,True,False,False,False
2025-04-28 03:59:02.265000+00:00,30.4,80.1,304,151,False,False,True,False
2025-04-28 04:00:03.598000+00:00,30.4,80.4,352,150,False,True,True,False
2025-04-28 04:33:43.506000+00:00,30.5,80.3,273,151,False,True,False,False
2025-04-28 05:26:49.505000+00:00,30.2,80.1,295,171,False,False,False,True
2025-04-28 06:03:33.840000+00:00,30.0,80.5,265,153,False,True,False,False
2025-04-28 06:25:00.242000+00:00,29.9,80.2,294,151,False,False,True,False
2025-04-28 06:26:01.580000+00:00,29.9,80.4,322,155,False,False,True,False
2025-04-28 08:19:27.537000+00:00,30.3,82.0,272,152,False,False,True,False
2025-04-28 08:35:47.428000+00:00,30.4,82.0,378,152,False,False,True,False
2025-04-28 08:36:52.360000+00:00,30.4,82.0,400,147,False,False,True,False
2025-04-28 08:41:03.062000+00:00,30.4,82.0,210,48,False,False,False,True
2025-04-28 08:42:04.385000+00:00,30.5,83.7,279,74,False,True,False,False
2025-04-28 09:09:38.308000+00:00,30.3,82.7,291,197,False,False,False,True
2025-04-28 09:39:19.416000+00:00,30.9,80.4,368,271,False,False,True,True
2025-04-28 10:30:23.946000+00:00,31.6,77.4,418,231,False,False,True,False
2025-04-28 10:31:25.824000+00:00,31.5,77.6,464,231,False,False,True,False
2025-04-28 10:42:39.817000+00:00,31.6,76.8,455,263,False,False,False,True
2025-04-28 11:26:35.806000+00:00,32.1,74.0,354,245,False,False,True,True
2025-04-28 11:27:37.149000+00:00,32.1,74.1,370,271,False,False,True,True
2025-04-28 12:35:59.574000+00:00,32.1,74.3,336,199,False,False,True,False
2025-04-28 12:37:00.481000+00:00,32.2,74.0,357,196,False,False,True,False
2025-04-28 13:03:36.341000+00:00,32.1,73.4,310,218,True,False,False,False
2025-04-28 13:05:38.918000+00:00,32.2,73.2,309,230,False,False,False,True
2025-04-28 13:06:40.281000+00:00,32.4,72.7,311,214,True,False,False,False
2025-04-28 13:07:41.491000+00:00,32.5,72.1,314,218,True,False,False,False
2025-04-28 13:28:06.963000+00:00,32.5,71.9,366,259,False,False,False,True
2025-04-28 13:29:08.196000+00:00,32.6,71.4,387,278,False,False,False,True
2025-04-28 13:52:36.657000+00:00,33.5,70.9,297,216,True,False,False,False
2025-04-28 14:56:56.568000+00:00,33.5,70.6,331,202,False,False,True,False
2025-04-28 14:58:59.348000+00:00,33.6,70.0,329,223,False,False,False,True
2025-04-28 15:00:00.592000+00:00,33.5,69.3,330,225,False,True,False,False
2025-04-28 15:27:33.725000+00:00,33.7,69.4,257,218,False,False,True,False
2025-04-28 15:29:36.267000+00:00,33.3,71.3,213,104,False,False,True,True
2025-04-28 15:53:05.971000+00:00,33.0,71.4,227,130,False,False,True,True
2025-04-28 15:54:07.093000+00:00,33.0,71.4,225,133,False,False,False,True
2025-04-28 15:55:08.231000+00:00,32.9,71.3,226,144,False,False,False,True
2025-04-28 16:06:21.846000+00:00,33.4,70.7,258,144,True,False,False,False
2025-04-28 16:16:34.836000+00:00,33.9,68.9,236,130,False,False,False,True
2025-04-28 16:19:38.848000+00:00,34.1,68.8,293,138,False,False,True,False
2025-04-28 17:25:03.372000+00:00,34.3,67.8,243,140,True,False,False,False
2025-04-28 17:52:40.773000+00:00,34.1,67.9,208,96,False,False,True,True
2025-04-28 17:53:42.011000+00:00,34.1,68.4,199,93,False,True,True,False
2025-04-28 18:38:36.473000+00:00,34.0,67.6,224,109,False,False,True,True
2025-04-28 18:40:38.944000+00:00,33.6,69.6,208,110,True,True,False,False
2025-04-28 18:41:40.179000+00:00,33.0,71.3,208,106,True,True,False,False
2025-04-28 18:42:41.515000+00:00,32.8,72.5,213,106,True,True,False,False
2025-04-28 20:14:37.193000+00:00,32.0,77.6,249,137,False,False,False,True
2025-04-28 20:15:38.332000+00:00,32.0,77.6,255,136,False,False,True,False
2025-04-28 20:16:39.667000+00:00,32.0,77.6,263,137,False,False,True,False
2025-04-28 20:36:04.413000+00:00,31.7,77.3,280,133,True,False,False,False
2025-04-28 20:39:08.145000+00:00,31.7,77.7,261,113,False,False,False,True
2025-04-28 21:03:37.815000+00:00,31.6,74.8,176,118,False,False,True,False
2025-04-28 21:04:38.963000+00:00,31.4,75.1,212,113,True,False,False,False
2025-04-28 21:05:40.094000+00:00,31.3,75.9,210,112,True,False,False,False
2025-04-28 21:58:48.121000+00:00,31.5,77.7,278,86,True,True,False,False
2025-04-28 22:00:50.591000+00:00,31.3,78.2,319,128,False,False,False,True
2025-04-28 22:51:53.283000+00:00,30.9,80.3,164,84,False,False,True,False
2025-04-28 23:21:32.342000+00:00,31.1,79.2,320,109,False,False,False,True
2025-04-28 23:52:09.996000+00:00,30.6,80.4,201,80,True,True,False,False
2025-04-28 23:53:11.231000+00:00,30.4,81.2,201,80,True,True,False,False
2025-04-29 00:03:23.805000+00:00,30.5,80.7,231,91,False,False,False,True
2025-04-29 00:59:32.377000+00:00,29.9,82.9,278,113,False,False,False,True
2025-04-29 01:24:10.479000+00:00,30.4,80.8,272,89,True,True,False,False
2025-04-29 01:27:14.080000+00:00,30.4,80.4,314,91,False,False,True,False
2025-04-29 04:09:30.325000+00:00,30.1,79.3,230,80,False,False,True,False
2025-04-29 04:10:31.559000+00:00,30.1,79.4,238,85,False,False,True,False
2025-04-29 05:09:42.921000+00:00,30.0,78.8,222,81,False,False,True,False
2025-04-29 05:10:44.056000+00:00,30.0,78.8,240,80,False,False,True,False
2025-04-29 05:39:17.167000+00:00,29.6,79.9,208,80,False,True,False,False
2025-04-29 05:40:18.299000+00:00,29.5,80.3,209,80,False,True,False,False
2025-04-29 06:17:01.624000+00:00,29.5,80.8,180,80,True,False,False,False
2025-04-29 06:49:40.506000+00:00,29.4,81.5,198,79,False,False,True,False
2025-04-29 07:03:57.218000+00:00,29.6,81.3,208,70,False,False,False,True
2025-04-29 07:05:59.953000+00:00,29.4,82.5,209,75,False,True,False,False
2025-04-29 07:07:02.124000+00:00,29.1,83.6,223,78,False,True,False,False
2025-04-29 07:08:03.304000+00:00,29.0,84.3,230,74,False,True,False,False
2025-04-29 07:15:11.956000+00:00,28.7,85.8,203,103,False,False,False,True
2025-04-29 07:46:47.985000+00:00,29.2,85.2,173,82,False,True,False,False
2025-04-29 08:12:18.693000+00:00,29.9,83.0,126,105,False,False,True,True
2025-04-29 08:13:19.930000+00:00,29.9,82.9,176,109,False,False,False,True
2025-04-29 09:26:46.573000+00:00,30.9,78.5,208,134,False,False,False,True
2025-04-29 10:38:14.931000+00:00,31.8,74.1,298,119,False,False,True,False
2025-04-29 10:41:18.647000+00:00,31.9,72.9,272,112,False,True,False,False
2025-04-29 11:34:22.177000+00:00,32.7,72.5,149,121,False,False,True,True
2025-04-29 12:20:06.194000+00:00,33.2,72.1,179,79,False,True,False,False
2025-04-29 12:21:07.329000+00:00,33.2,71.9,151,51,False,False,False,True
2025-04-29 12:53:48.263000+00:00,33.2,71.6,151,80,False,False,True,False
